Betreiber,Adresse,Postleitzahl Ort,Längengrad [DG],Breitengrad [DG],Inbetriebnahmedatum,Anschlussleistung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen 1,P1 [kW],Steckertypen 2,P2 [kW],Steckertypen 3,P3 [kW],Steckertypen 4,P4 [kW],
Allego GmbH,Nöldnerstr. 9,10317 Berlin,"13,4779","52,501809",12/23/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Stolzenfelsstraße 1,10318 Berlin,"13,526469","52,481183",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Römerweg 38,10318 Berlin,"13,52497","52,491855",6/26/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Sewanstr. ggü. 43,10319 Berlin,"13,502235","52,498223",4/14/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Frankfurter Allee 248,10365 Berlin,"13,4975","52,511667",9/27/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Normannenstr. 1,10367 Berlin,"13,479989","52,516139",3/13/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Josef-Orlopp-Str. 4,10367 Berlin,"13,480103","52,523041",2/11/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Landsberger Allee 174,10369 Berlin,"13,468979","52,531126",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Chodowiekistr. ggü.1,10405 Berlin,"13,431859","52,535618",10/12/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Immanuelkirchstr. 14,10405 Berlin,"13,425677","52,53194",1/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Kollwitzstr. 35,10405 Berlin,"13,414964","52,5337",12/22/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,John-Schehr-Str.66,10407 Berlin,"13,442525","52,533827",12/23/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Oderbruchstr. 13,10407 Berlin,"13,461713","52,530883",2/15/17,"3,7",Normalladeeinrichtung,1,AC Steckdose Typ 2,"3,7",,,,,,,
Allego GmbH,Naugarder Str. 1,10409 Berlin,"13,438961","52,542085",11/14/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Hosemannstr. 9,10409 Berlin,"13,438632","52,547015",6/6/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Griebenowstraße 5,10435 Berlin,"13,405008","52,535712",7/17/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Swinemünder Str. 126,10435 Berlin,"13,403331","52,535344",12/19/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Oderberger Str. 22,10435 Berlin,"13,406896","52,539697",3/31/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Raumerstr. ggü. 6,10437 Berlin,"13,417228","52,543283",12/22/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Gneiststr. 10,10437 Berlin,"13,415361","52,544174",8/29/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Kopenhagener Str. 77,10437 Berlin,"13,412197","52,548538",9/27/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Wichertstr. 34,10439 Berlin,"13,424988","52,546751",11/13/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Krügerstr. 25,10439 Berlin,"13,429248","52,55057",11/14/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Paul-Robeson-Str. 50,10439 Berlin,"13,413783","52,552103",11/14/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Schönfließer Str. 9,10439 Berlin,"13,408519","52,553752",11/14/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
APCOA PARKING Deutschland GmbH,Schönhauser Allee 79-80,10439 Berlin,"13,4157814999999","52,5494582",12/1/16,11,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Birkenstr. 33,10551 Berlin,"13,341048","52,532441",4/7/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Erasmusstr. 20,10553 Berlin,"13,32721","52,526111",4/7/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Alt-Moabit 72,10555 Berlin,"13,332421","52,524128",12/12/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Friedrich-List-Ufer ,10557 Berlin,"13,370633","52,525956",7/17/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Alt-Moabit 5,10557 Berlin,"13,362537","52,523223",4/13/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Flensburger Straße 1,10557 Berlin,"13,345655","52,520314",4/13/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Clara-Jaschke-Str. 88,10557 Berlin,"13,366234","52,523427",1/10/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Otto-Suhr-Allee 84,10585 Berlin,"13,309385","52,516632",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Krumme Straße 73,10585 Berlin,"13,309261","52,5121",6/12/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Krumme Str. 85,10585 Berlin,"13,309838","52,513972",10/4/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Marchstraße 9,10587 Berlin,"13,322778","52,513661",5/20/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Wilmersdorfer Str. 8,10587 Berlin,"13,304447","52,517207",7/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Charlottenburger Ufer 1,10587 Berlin,"13,300289","52,52122",12/5/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Osnabrücker Str. 26,10589 Berlin,"13,301083","52,525864",11/7/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Savignyplatz (Nord) 6,10623 Berlin,"13,322375","52,506539",2/16/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
