Betreiber,Adresse,Postleitzahl Ort,Längengrad [DG],Breitengrad [DG],Inbetriebnahmedatum,Anschlussleistung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen 1,P1 [kW],Steckertypen 2,P2 [kW],Steckertypen 3,P3 [kW],Steckertypen 4,P4 [kW],
Allego GmbH,Blücherstr. 19,10961 Berlin,"13,398243","52,4948",12/5/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Solmsstr. 16,10961 Berlin,"13,390709","52,491988",10/10/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Nostitzstr. 36,10961 Berlin,"13,390284","52,489861",8/3/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Gabriele-Tergit-Promenade 1,10963 Berlin,"13,376504","52,508248",4/15/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Bernburger Str. 34,10963 Berlin,"13,380887","52,504762",11/28/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Wartenburgstr. 24,10963 Berlin,"13,383722","52,495127",10/10/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Möckernstr. 93,10963 Berlin,"13,379659","52,493218",12/16/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Schwiebusser Str. ggü. 46,10965 Berlin,"13,394098","52,485901",7/7/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Kreuzbergstr. 22,10965 Berlin,"13,381119","52,489843",2/23/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Schenkendorfstr. 8,10965 Berlin,"13,392945","52,489075",11/7/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Lenaustr. 1,10967 Berlin,"13,424433","52,489938",2/15/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Schönleinstr. ggü. 20,10967 Berlin,"13,419889","52,490197",11/20/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Grimmstr. 9,10967 Berlin,"13,413538","52,493476",12/22/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Markgrafenstr. 18,10969 Berlin,"13,394584","52,506311",7/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Lindenstr. 113,10969 Berlin,"13,394772","52,499942",4/8/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Prinzenstr. 97,10969 Berlin,"13,407904","52,50041",7/11/16,93,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",50,AC Kupplung Typ 2,43,,,,,
Allego GmbH,Lindenstr. 113,10969 Berlin,"13,394782","52,499952",4/11/16,93,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",50,AC Kupplung Typ 2,43,,,,,
Allego GmbH,Stallschreiberstr. 55,10969 Berlin,"13,409668","52,50427",1/28/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Wassertorstr. 53,10969 Berlin,"13,407592","52,500008",11/28/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Wrangelstr. 35,10997 Berlin,"13,437175","52,500491",12/5/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Eisenbahnstr. 39,10997 Berlin,"13,432597","52,502519",11/20/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Glogauer Str. 20,10999 Berlin,"13,436405","52,492326",7/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Reichenberger Str. 20,10999 Berlin,"13,419909","52,498568",12/22/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Lausitzer Str. 6,10999 Berlin,"13,408519","52,553752",11/20/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Karl-Marx-Straße 62,12043 Berlin,"13,432248","52,482664",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Treptower Straße 97,12043 Berlin,"13,447891","52,477748",5/23/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Karl-Marx-Str. ggü. 9,12043 Berlin,"13,425589","52,485678",10/13/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Wildenbruchplatz 1,12045 Berlin,"13,443611","52,483889",5/23/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Jansastr. 13,12045 Berlin,"13,433537","52,485832",10/10/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Wildenbruchstr. 89,12045 Berlin,"13,440846","52,482149",11/16/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Spremberger Str. 7,12047 Berlin,"13,423077","52,494063",11/20/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Hermannstraße 1,12049 Berlin,"13,424146","52,486057",3/14/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Emser Str. 39,12051 Berlin,"13,430205","52,468459",7/15/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Juliusstr. 36,12051 Berlin,"13,434451","52,463234",1/22/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Glasower Str. 68,12051 Berlin,"13,442555","52,464994",1/5/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Werbellinstraße 79,12053 Berlin,"13,427361","52,477649",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Werbellinstr. 8,12053 Berlin,"13,436308","52,478894",5/11/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Rollbergstr. 72,12053 Berlin,"13,426914","52,478351",8/18/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Reuterstr. 82,12053 Berlin,"13,428816","52,483452",8/18/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Leykestr. 18,12053 Berlin,"13,42787","52,474872",12/5/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Saalestraße ,12055 Berlin,"13,4435","52,469933",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Braunschweiger Str. ggü. 1,12055 Berlin,"13,454383","52,474377",12/22/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Planetenstr. 47,12057 Berlin,"13,467502","52,468649",8/17/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Sonnenallee 224,12059 Berlin,"13,45612","52,471539",3/16/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Treptower Straße 40,12059 Berlin,"13,456928","52,48485",2/6/18,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
innogy SE,Tempelhofer Damm 187,12099 Berlin,"13,384968","52,459663",12/14/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Tempelhofer Damm 2,12101 Berlin,"13,385943","52,483895",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Tempelhofer Damm 76,12101 Berlin,"13,385563","52,474948",3/8/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Alboinstraße 5,12103 Berlin,"13,371279","52,469452",12/14/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Alboinstraße 4,12103 Berlin,"13,37075","52,469208",5/22/14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Friedrich-Karl-Str. 36,12103 Berlin,"13,37693","52,456396",3/9/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Friedrich-Karl-Str. 5,12103 Berlin,"13,382651","52,455871",1/11/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Ringbahnstr. 131,12103 Berlin,"13,375263","52,468616",3/19/18,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Alt-Mariendorf 37,12107 Berlin,"13,386994","52,44014",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Ullsteinstr. 141,12109 Berlin,"13,385035","52,452628",3/14/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
APCOA PARKING Deutschland GmbH,Grunewaldstr.1-3,12154 Berlin,"13,3589564999999","52,4906821999999",12/1/16,11,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Perter-Vischer-Str. ggü 37,12157 Berlin,"13,347064","52,465066",6/22/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Bahnhofstraße 4,12159 Berlin,"13,3401","52,470125",5/23/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Hedwigstr. 1,12159 Berlin,"13,33612","52,471428",6/22/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Schmargendorfer Str. 6,12159 Berlin,"13,333625","52,471535",1/16/17,"3,7",Normalladeeinrichtung,1,AC Steckdose Typ 2,"3,7",,,,,,,
innogy SE,Südwestkorso 10,12161 Berlin,"13,323667","52,475155",5/23/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Friedrich-Wilhelm-Platz 7,12161 Berlin,"13,328003","52,471708",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Fröaufstr. 1,12161 Berlin,"13,327451","52,46713",1/16/17,"3,7",Normalladeeinrichtung,1,AC Steckdose Typ 2,"3,7",,,,,,,
Allego GmbH,Wiesbadener Str. 14a,12161 Berlin,"13,320837","52,47166",7/24/17,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Schöneberger Str. 4,12163 Berlin,"13,330027","52,464278",11/7/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Lepsiusstr. 14,12163 Berlin,"13,321319","52,465119",1/29/18,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Hindenburgdamm 65 c/d,12165 Berlin,"13,315737","52,453059",11/7/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Bismarckstr. 36,12169 Berlin,"13,338099","52,451796",9/26/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Moltkestraße 51,12203 Berlin,"13,306709","52,446983",9/16/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Hindenburgdamm ggü. 96,12203 Berlin,"13,316541","52,440122",9/16/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Ahlener Weg 10,12207 Berlin,"13,305055","52,410062",3/27/18,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Giesensdorfer Str,12207 Berlin,"13,313928","52,427438",1/30/18,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Gradestraße 100,12347 Berlin,"13,422523","52,452364",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Mohriner Allee 21B,12347 Berlin,"13,431949","52,443544",11/27/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Johannisthaler Chaussee 300,12351 Berlin,"13,455741","52,430558",9/26/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Johannisthaler Chaussee 335,12351 Berlin,"13,451926","52,428739",9/17/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Alt-Rudow 74,12355 Berlin,"13,496941","52,416522",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Möwenweg 42,12359 Berlin,"13,459449","52,440678",5/23/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Am Plänterwald 2,12435 Berlin,"13,475576","52,480171",6/13/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Kiefholzstr. 44,12435 Berlin,"13,455848","52,487552",11/6/17,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Puschkinallee,12435 Berlin,"13,455807","52,493961",9/26/17,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Glanzstr. 3,12437 Berlin,"13,490609","52,467513",6/13/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
"Porsche Zentrum Berlin-Adlershof, Porsche Niederlassung Berlin GmbH",Hermann-Dorner-Allee 98,12487 Berlin,"13,5192243","52,427975",5/14/18,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350,,,,,,,
"Porsche Zentrum Berlin-Adlershof, Porsche Niederlassung Berlin GmbH",Hermann-Dorner-Allee 98,12487 Berlin,"13,5192243","52,427975",5/14/18,350,Schnellladeeinrichtung,1,DC Kupplung Combo,350,,,,,,,
Allego GmbH,Abram-Joffe-Str. 18,12489 Berlin,"13,527693","52,432581",9/10/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Albert-Einstein-Straße 1,12489 Berlin,"13,537549","52,430703",7/4/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Albert-Einstein-Straße 1,12489 Berlin,"13,537549","52,430703",7/4/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Albert-Einstein-Straße 1,12489 Berlin,"13,537549","52,430703",7/4/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Albert-Einstein-Straße 1,12489 Berlin,"13,537549","52,430703",7/4/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Rudower Chaussee 25,12489 Berlin,"13,530916","52,429709",10/30/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Parrisiusstr. 22,12555 Berlin,"13,578466","52,457103",6/13/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Am Krusenick 1,12555 Berlin,"13,583481","52,45163",5/31/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
APCOA PARKING Deutschland GmbH,Borgmannstr. 12,12555 Berlin-Köpenick,"13,4049539999999","52,520007",4/1/17,11,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Teterower Ring 43,12619 Berlin,"13,586226","52,521476",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Planitzstraße 1,12621 Berlin,"13,587696","52,510911",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Hönower Straße 89,12623 Berlin,"13,612144","52,51289",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Kastanienallee 1,12623 Berlin,"13,600983","52,47641",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Marzahner Promenade 8,12679 Berlin,"13,543413","52,542246",5/23/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Bitterfelder Str. 12,12681 Berlin,"13,543103","52,553598",10/19/16,"3,7",Normalladeeinrichtung,1,AC Steckdose Typ 2,"3,7",,,,,,,
innogy SE,Kulmseestraße 4,12683 Berlin,"13,554232","52,51371",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Hanoier Str. 10,12683 Berlin,"13,555783","52,50715",9/29/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Hasenholzer Allee 2,12685 Berlin,"13,574313","52,540594",12/23/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Krummenseer Str. 2,12685 Berlin,"13,570834","52,541945",12/18/17,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Max-Hermann-Str,12687 Berlin,"13,566658","52,555434",7/6/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Havemannstraße 4,12689 Berlin,"13,566698","52,570076",5/23/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Marzahner Str. 24,13053 Berlin,"13,519722","52,544444",9/28/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Große-Leege-Str. 115,13055 Berlin,"13,501168","52,548381",9/29/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Bahnhofstr. ggü. 6,13055 Berlin,"13,498685","52,544716",12/23/15,22,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Arendsweg 19,13055 Berlin,"13,505635","52,537276",5/15/17,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Brauhausstraße 4,13086 Berlin,"13,431897","52,555641",2/6/18,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Herbert-Baum-Str. 4,13088 Berlin,"13,455833","52,548972",11/28/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Waldstr. 1 REWE,13156 Berlin,"13,400588","52,580718",1/26/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Nordendstr. 66c,13156 Berlin,"13,394456","52,58981",12/16/17,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Siegfriedstr. 12,13156 Berlin,"13,411936","52,581369",8/29/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Mühlenstr. 17,13187 Berlin,"13,405779","52,56623",11/28/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Brennerstr. 90,13187 Berlin,"13,412595","52,558692",11/21/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Kissingenstr. 26,13189 Berlin,"13,425986","52,567806",12/23/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Schulzendorfer Str. 26,13347 Berlin,"13,371425","52,540164",12/12/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Plantagenstr. 43,13347 Berlin,"13,369095","52,546207",12/14/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Groninger Str. 39,13347 Berlin,"13,361305","52,554946",3/10/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Lüderitzstr. 76,13351 Berlin,"13,340873","52,554993",12/14/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Genter Str. 45,13353 Berlin,"13,354084","52,547089",12/15/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Amrumerstr.,13353 Berlin,"13,347789","52,543269",2/8/18,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Nordufer 6,13353 Berlin,"13,356203","52,539392",12/5/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Seestr.18,13353 Berlin,"13,345153","52,546602",2/8/18,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Rügener Str. 26,13355 Berlin,"13,391727","52,545027",12/15/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Hussitenstr. 76,13355 Berlin,"13,390538","52,536447",12/15/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Steegerstr. 14,13359 Berlin,"13,394848","52,561813",11/13/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Blankestr. 19,13403 Berlin,"13,329722","52,563734",10/19/16,"3,7",Normalladeeinrichtung,1,AC Steckdose Typ 2,"3,7",,,,,,,
Lidl Dienstleistungs GmbH & Co. KG,Quickborner Straße 66-70,13439 Berlin-Reinickendorf,"13,368","52,604",9/22/16,50,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,,,,,
Allego GmbH,Zingster Str. 30,13501 Berlin,"13,498827","52,569229",7/24/17,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Am Tegeler Hafen 3,13507 Berlin,"13,28121","52,590506",3/14/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Brunsbütteler Damm 4,13581 Berlin,"13,196889","52,533331",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Brunsbütteler Damm 153,13581 Berlin,"13,174442","52,533653",9/26/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Wilhelmshavener Str. 27,13581 Berlin,"13,195482","52,533272",9/11/15,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Falkenseer Chaussee 259,13583 Berlin,"13,18358","52,54761",9/26/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Hohenzollernring 117,13585 Berlin,"13,198333","52,555667",9/27/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Hugo-Cassirer-Straße 35,13587 Berlin,"13,218403","52,557914",9/27/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Schulstr. 1,13591 Berlin,"13,13987","52,529385",5/22/17,11,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,
Allego GmbH,Sandstr. 60,13593 Berlin,"13,16963","52,518224",12/5/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Am Juliusturm 106,13597 Berlin,"13,205778","52,539603",9/28/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Charlottenburger Chaussee 75,13597 Berlin,"13,228676","52,528196",9/28/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Ruhlebener Str. 161,13597 Berlin,"13,216901","52,526615",9/27/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Schürstr. 17,13597 Berlin,"13,207808","52,532922",10/30/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Zitadellenweg 34,13599 Berlin,"13,217505","52,538151",9/26/11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
