Betreiber,Straße,PLZ,Anmerkungen
BeMobility,Christinenstraße 13,10119 Berlin,"*Ladestation (16A/16A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 2 Parkplätze freigehalten
Ausgewiesene BeMobility Parkplätze, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
BeMobility,Heinrich-Roller-Straße 21,10405 Berlin,"*Ladestation (16A/16A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 2 Parkplätze freigehalten
Ausgewiesene BeMobility Parkplätze, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
BeMobility,Kanzowstraße 1,10439 Berlin,"*Ladestation (16A/16A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 2 Parkplätze freigehalten
Ausgewiesene BeMobility Parkplätze, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
Kulturbrauerei,Schönhauser Allee 36,10435 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Stellplatz Nr. 9 + 10
Nutzbarkeit: Mo-Sa 06:00-24:00 Uhr, So + Feiertag 8:00-24:00 Uhr"
BeMobility,Sredzkistraße 2,10435 Berlin,"*Ladestation (16A/16A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 2 Parkplätze freigehalten
Ausgewiesene BeMobility Parkplätze, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
REWE,Emmentaler Straße 122-130,13409 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreie Parkplätze auf REWE Gelände
Nutzbarkeit: Rund um die Uhr (Schranke vorhanden)"
Technischer Überwachungsverein (TÜV),Alboinstraße 56,12103 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier Parkplatz auf dem TÜV Gelände
Nutzbarkeit: Mo-Fr 7:30-18:00, Sa 8:00-12:00 (Schranke vorhanden)"
Oskar Böttcher GmbH & Co. KG (obeta),Bessemerstr. 33,12103 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreier Parkplatz auf obeta Gelände
Nutzbarkeit: Rund um die Uhr (Rolltor vorhanden)"
EUREF,Torgauer Str. 12,10829 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 4 vorhanden
Kostenfreie Parkplätze auf dem EUREF Gelände
Nutzbarkeit: Rund um die Uhr (Pförtner vor Ort)"
REWE,Rauchstraße 56,13587 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreier Parkplatz auf dem REWE Gelände
Nutzbarkeit: Mo-Sa 7:00-22:15, So geschlossen (Schranke vorhanden)"
Rathaus Spandau,Stabholzgarten 4,13597 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 2 Parkplätze freigehalten
Parkplätze im Parkhaus, neben der Ausfahrt, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
Zehlendorfer Welle,Clayallee 328,14169 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Parkplatz im Parkhaus, Parkgebühren fallen ggf. an
Nutzbarkeit: Mo-Sa 6:00-24:00, So + Feiertag 9:00-21:00 Uhr"
REWE,Ladiusstraße 26,14165 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreier Parkplatz auf dem REWE Gelände
Nutzbarkeit: Rund um die Uhr"
REWE,Malteserstraße 136-138,12249 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreier Parkplatz auf dem REWE Gelände
Nutzbarkeit: Rund um die Uhr (Schranke vorhanden)"
Forum Steglitz,Schloßstraße 1,12163 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Parkplätze im Parkhaus Einfahrt Bornstraße, Ebene A, Parkgebühren fallen 
ggf. an
Nutzbarkeit: Rund um die Uhr"
REWE,Kiefholzstr. 50,12059 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreier Parkplatz auf dem REWE Gelände
Nutzbarkeit: Rund um die Uhr"
Vattenfall,Puschkinallee 52,12435 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreier Parkplatz auf dem Vattenfall Gelände
Nutzbarkeit: Rund um die Uhr"
REWE,Wendenschloßstraße 354-358,12557 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: Ladepunkte: 2 vorhanden
Kostenfreier Parkplatz auf dem REWE Gelände
Nutzbarkeit: Rund um die Uhr"
Elektro-Innung Berlin,Wilhelminenhofstr. 75,12459 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier Parkplatz auf dem Gelände der Elektro-Innung neben Villa 
Rathenau
Nutzbarkeit: Werktags 07:00-16:00 Uhr"
